Title,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
Breaking Bad,100/100,1,0,0,0
Stranger Things,96/100,1,0,0,0
Attack on Titan,95/100,1,1,0,0
Better Call Saul,94/100,1,0,0,0
Dark,93/100,1,0,0,0
Avatar: The Last Airbender,93/100,1,0,1,0
Peaky Blinders,93/100,1,0,0,0
The Walking Dead,93/100,1,0,0,0
Black Mirror,92/100,1,0,0,0
The Queen's Gambit,92/100,1,0,0,0
Mindhunter,90/100,1,0,0,0
Community,90/100,1,1,1,0
Narcos,90/100,1,0,0,0
Shameless,90/100,1,1,1,0
Money Heist,90/100,1,0,0,0
Marvel's Daredevil,90/100,1,0,0,0
Lucifer,90/100,1,0,0,0
Supernatural,89/100,1,0,0,0
The Witcher,89/100,1,0,0,0
Ozark,89/100,1,0,0,0
The Crown,89/100,1,0,0,0
Cobra Kai,89/100,1,0,0,0
The Blacklist,88/100,1,0,0,0
The Flash,88/100,1,0,0,0
Outlander,88/100,1,0,0,0
Fullmetal Alchemist: Brotherhood,88/100,1,1,0,0
The Good Place,88/100,1,0,0,0
House of Cards,88/100,1,0,0,0
Atypical,88/100,1,0,0,0
Grey's Anatomy,87/100,1,1,0,0
Arrested Development,87/100,1,1,0,0
Lupin,87/100,1,0,0,0
The Umbrella Academy,87/100,1,0,0,0
Orange Is the New Black,87/100,1,0,0,0
The Vampire Diaries,86/100,1,0,0,0
Demon Slayer: Kimetsu no Yaiba,86/100,1,1,0,0
The Last Dance,86/100,1,0,0,0
American Horror Story,86/100,1,1,1,0
Elite,86/100,1,0,0,0
BoJack Horseman,86/100,1,0,0,0
Star Trek: The Next Generation,86/100,1,1,1,0
Broadchurch,86/100,1,0,0,0
The IT Crowd,86/100,1,0,0,0
When They See Us,86/100,1,0,0,0
"Love, Death & Robots",86/100,1,0,0,0
Schitt's Creek,86/100,1,0,0,0
Marvel's Agents of S.H.I.E.L.D.,86/100,1,0,0,0
Never Have I Ever,86/100,1,0,0,0
The 100,86/100,1,0,0,0
American Crime Story,85/100,1,0,0,0
The Last Kingdom,85/100,1,0,0,0
The End of the F***ing World,85/100,1,0,0,0
New Girl,85/100,1,0,0,0
Penny Dreadful,85/100,1,0,1,0
One Piece,85/100,1,1,0,0
Marvel's The Punisher,85/100,1,0,0,0
Evil,85/100,1,0,0,0
YOU,85/100,1,0,0,0
Sense8,84/100,1,0,0,0
Making a Murderer,84/100,1,0,0,0
Unbelievable,84/100,1,0,0,0
Arrow,84/100,1,0,0,0
Sex Education,84/100,1,0,0,0
Marvel's Jessica Jones,84/100,1,0,0,0
Sweet Tooth,84/100,1,0,0,0
Good Girls,84/100,1,1,0,0
Death Note,84/100,1,1,0,0
Gilmore Girls,84/100,1,0,0,0
The Legend of Korra,83/100,1,0,0,0
How to Get Away with Murder,83/100,1,1,0,0
Master of None,83/100,1,0,0,0
Chappelle's Show,83/100,1,0,0,0
One-Punch Man,83/100,1,1,0,0
Downton Abbey,83/100,1,0,1,0
Gotham,83/100,1,0,0,0
Pose,83/100,1,0,0,0
Bodyguard,83/100,1,0,0,0
Altered Carbon,83/100,1,0,0,0
Ash vs Evil Dead,83/100,1,0,0,0
The Sinner,83/100,1,0,0,0
Our Planet,82/100,1,0,0,0
Narcos: Mexico,82/100,1,0,0,0
Shadow and Bone,82/100,1,0,0,0
Castlevania,82/100,1,0,0,0
Star Trek,82/100,1,1,1,0
The Kominsky Method,82/100,1,0,0,0
Hunter x Hunter,82/100,1,1,0,0
Dead to Me,82/100,1,0,0,0
The Haunting of Hill House,82/100,1,0,0,0
Russian Doll,82/100,1,0,0,0
Kingdom,82/100,1,1,0,0
Neon Genesis Evangelion,82/100,1,0,0,0
Naruto,81/100,1,1,0,0
NCIS,81/100,1,0,0,0
Manifest,81/100,1,1,0,0
Halt and Catch Fire,81/100,1,0,0,0
Monty Python's Flying Circus,81/100,1,0,0,0
After Life,81/100,1,0,0,0
Riverdale,81/100,1,1,0,0
Big Mouth,81/100,1,0,0,0
I Think You Should Leave with Tim Robinson,81/100,1,0,0,0
Derry Girls,81/100,1,0,0,0
The Promised Neverland,81/100,1,1,0,0
Lost in Space,80/100,1,1,0,0
Star Trek: Deep Space Nine,80/100,1,1,1,0
Jane the Virgin,80/100,1,0,0,0
Godless,80/100,1,0,0,0
The OA,80/100,1,0,0,0
DC's Legends of Tomorrow,80/100,1,0,0,0
Sacred Games,80/100,1,0,0,0
iZombie,80/100,1,0,0,0
Longmire,80/100,1,0,0,0
Happy Endings,80/100,1,1,0,0
Into the Badlands,80/100,1,0,0,0
The Originals,80/100,1,0,0,0
Anne with an E,80/100,1,0,0,0
Grace and Frankie,80/100,1,0,0,0
Chilling Adventures of Sabrina,80/100,1,0,0,0
Queen of the South,79/100,1,0,0,0
A Series of Unfortunate Events,79/100,1,0,0,0
Bridgerton,79/100,1,0,0,0
Unorthodox,79/100,1,0,0,0
Stargate SG-1,79/100,1,1,0,0
Outer Banks,79/100,1,0,0,0
13 Reasons Why,79/100,1,0,0,0
Unbreakable Kimmy Schmidt,79/100,1,0,0,0
Marvel's Luke Cage,79/100,1,0,0,0
GLOW,79/100,1,0,0,0
Borgen,79/100,1,0,0,0
The 4400,79/100,1,0,0,0
Alias Grace,79/100,1,0,0,0
All American,79/100,1,0,0,0
Santa Clarita Diet,79/100,1,0,0,0
Reign,78/100,1,0,0,0
Maniac,78/100,1,0,0,0
Dark Matter,78/100,1,0,1,0
Star Trek: Voyager,78/100,1,1,1,0
"Tiger King: Murder, Mayhem and Madness",78/100,1,0,0,0
Call the Midwife,78/100,1,0,0,0
Queer Eye,78/100,1,0,0,0
American Vandal,78/100,1,0,0,0
Wynonna Earp,78/100,1,0,0,0
Marvel's The Defenders,78/100,1,0,0,0
HAPPY!,77/100,1,0,0,0
Haikyu!!,77/100,1,1,0,0
Colony,77/100,1,0,0,0
Heartland,77/100,1,0,1,0
Alone,77/100,1,1,0,0
Marco Polo,77/100,1,0,1,0
Wild Wild Country,77/100,1,0,0,0
The Dragon Prince,77/100,1,0,0,0
Locke & Key,77/100,1,0,0,0
Love,77/100,1,0,0,0
One Day at a Time,77/100,1,0,0,0
Feel Good,77/100,1,0,0,0
Fauda,77/100,1,0,0,0
The Dark Crystal: Age of Resistance,77/100,1,0,0,0
Top Boy,77/100,1,0,0,0
I Am Not Okay with This,77/100,1,0,0,0
Supergirl,77/100,1,0,0,0
The Shannara Chronicles,77/100,1,0,0,0
Designated Survivor,77/100,1,0,0,0
Travelers,77/100,1,0,0,0
StartUp,77/100,1,0,0,0
Ripper Street,77/100,1,0,0,0
Episodes,77/100,1,0,0,0
Crazy Ex-Girlfriend,76/100,1,0,0,0
Bloodline,76/100,1,0,0,0
Black Summer,76/100,1,0,0,0
The Borgias,76/100,1,0,0,0
Glee,76/100,1,0,1,0
The Stranger,76/100,1,0,0,0
Virgin River,76/100,1,0,0,0
Lilyhammer,76/100,1,0,0,0
Dirty John,76/100,1,0,0,0
TURN: Washington's Spies,76/100,1,0,0,0
Star Trek: Enterprise,76/100,1,1,1,0
She-Ra and the Princesses of Power,75/100,1,0,0,0
Merlin,75/100,1,1,1,0
The Magicians,75/100,1,0,0,0
Ginny & Georgia,75/100,1,0,0,0
The Spy,75/100,1,0,0,0
On My Block,75/100,1,0,0,0
The Movies That Made Us,75/100,1,0,0,0
Chef's Table,75/100,1,0,0,0
Biohackers,75/100,1,0,0,0
The Seven Deadly Sins,75/100,1,0,0,0
The Keepers,75/100,1,0,0,0
F is for Family,74/100,1,0,0,0
The Midnight Gospel,74/100,1,0,0,0
Ragnarok,74/100,1,0,1,0
Legacies,74/100,1,0,0,0
The Order,74/100,1,0,0,0
Disenchantment,74/100,1,0,0,0
Dead Set,74/100,1,0,0,0
Dirty Money,74/100,1,0,0,0
The Staircase,74/100,1,0,0,0
Soul Eater,74/100,1,1,0,0
Into the Night,74/100,1,0,0,0
The Haunting of Bly Manor,74/100,1,0,0,0
Julie and the Phantoms,74/100,1,0,0,0
Leyla ile Mecnun,74/100,1,0,0,0
Living with Yourself,74/100,1,0,0,0
Young Royals,74/100,1,0,0,0
Hilda,74/100,1,0,0,0
The Mechanism,74/100,1,0,0,0
ERASED,74/100,1,1,0,0
Formula 1: Drive to Survive,74/100,1,0,0,0
Don't F**k with Cats: Hunting an Internet Killer,74/100,1,0,0,0
Kim's Convenience,73/100,1,0,0,0
The Society,73/100,1,0,0,0
Imposters,73/100,1,0,0,0
Frequency,73/100,1,0,1,0
Wentworth,73/100,1,0,0,0
Marvel's Iron Fist,73/100,1,0,0,0
Bleach,73/100,1,1,0,0
Quantico,73/100,1,0,0,0
Shooter,73/100,1,0,0,0
Pokémon,73/100,1,1,1,0
Hollywood,73/100,1,0,0,0
Madam Secretary,73/100,1,0,0,0
Last Tango in Halifax,73/100,1,0,0,0
Safe,73/100,1,1,0,0
Resurrection: Ertugrul,73/100,1,0,0,0
Versailles,73/100,1,0,0,0
Sex/Life,73/100,1,0,0,0
Fullmetal Alchemist,73/100,1,0,0,0
Marianne,73/100,1,0,0,0
Five Came Back,73/100,1,0,0,0
Miraculous: Tales of Ladybug & Cat Noir,73/100,1,0,0,0
Abstract: The Art of Design,73/100,1,0,0,0
Teenage Bounty Hunters,72/100,1,0,0,0
Documentary Now!,72/100,1,0,0,0
Special,72/100,1,0,0,0
JoJo's Bizarre Adventure,72/100,1,1,0,0
Manhunt,72/100,1,0,0,0
Your Lie in April,72/100,1,1,0,0
Code Geass: Lelouch of the Rebellion,72/100,1,0,0,0
Middleditch & Schwartz,72/100,1,0,0,0
Zoo,72/100,1,0,0,0
Jupiters Legacy,72/100,1,0,0,0
Ratched,72/100,1,0,0,0
Babylon Berlin,72/100,1,0,0,0
Better Than Us,72/100,1,0,0,0
Everything Sucks!,72/100,1,0,0,0
Evil Genius,72/100,1,0,0,0
Doctor Foster,72/100,1,0,0,0
Marcella,72/100,1,0,0,0
Survivor,72/100,1,1,1,0
Derek,72/100,1,0,0,0
Flowers,72/100,1,0,0,0
3%,72/100,1,0,0,0
Tuca & Bertie,72/100,1,0,0,0
Kuroko's Basketball,72/100,1,0,0,0
Parasyte -the maxim-,72/100,1,1,0,0
Last Chance U,71/100,1,0,0,0
Trailer Park Boys,71/100,1,0,0,0
Black Lightning,71/100,1,0,0,0
Chicago Med,71/100,1,1,0,0
How to Sell Drugs Online (Fast),71/100,1,0,0,0
Secret City,71/100,1,0,0,0
Dynasty,71/100,1,0,0,0
Dracula,71/100,1,0,0,0
Delhi Crime,71/100,1,0,0,0
Space Force,71/100,1,0,0,0
Pretend It's a City,71/100,1,0,0,0
Masters of the Universe: Revelation,71/100,1,0,0,0
iCarly,71/100,1,0,0,0
Who Killed Sara?,71/100,1,0,0,0
Sword Art Online,71/100,1,1,0,0
Paranormal,71/100,1,0,0,0
Frontier,71/100,1,0,0,0
The Politician,71/100,1,0,0,0
Raising Dion,71/100,1,0,0,0
Food Wars! Shokugeki no Soma,71/100,1,1,0,0
Crash Landing on You,71/100,1,0,0,0
Seven Seconds,71/100,1,0,0,0
The Great British Bake Off,70/100,1,0,0,0
Wizards: Tales of Arcadia,70/100,1,0,0,0
Conversations with a Killer: The Ted Bundy Tapes,70/100,1,0,0,0
Lenox Hill,70/100,1,0,0,0
Fate: The Winx Saga,70/100,1,0,0,0
The Circle,70/100,1,0,1,0
Cheer,70/100,1,0,0,0
Hemlock Grove,70/100,1,0,0,0
Transformers: War for Cybertron: Siege,70/100,1,0,0,0
Explained,70/100,1,0,0,0
Messiah,70/100,1,0,0,0
Sky Rojo,70/100,1,0,0,0
Bonding,70/100,1,0,0,0
I'm Sorry,70/100,1,0,0,0
Katla,70/100,1,0,0,0
It's Okay to Not Be Okay,70/100,1,0,0,0
Forensic Files,70/100,1,1,1,0
Workin' Moms,70/100,1,0,0,0
The Toys That Made Us,70/100,1,0,0,0
The Devil Next Door,70/100,1,0,0,0
Kipo and the Age of Wonderbeasts,70/100,1,0,0,0
"Roswell, New Mexico",70/100,1,0,0,0
Night Stalker: The Hunt For a Serial Killer,70/100,1,0,0,0
Glitch,70/100,1,0,0,0
Great Pretender,69/100,1,0,0,0
InuYasha,69/100,1,1,0,0
In the Dark,69/100,1,0,0,0
GHOUL,69/100,1,0,0,0
Nailed It!,69/100,1,0,0,0
Voltron: Legendary Defender,69/100,1,0,0,0
Trollhunters: Tales of Arcadia,69/100,1,0,0,0
Sweet Magnolias,69/100,1,0,0,0
Medici: Masters of Florence,69/100,1,0,0,0
The Innocent,69/100,1,0,0,0
Aggretsuko,69/100,1,0,0,0
Jurassic World: Camp Cretaceous,69/100,1,0,0,0
Rake,69/100,1,1,1,0
The Serpent,69/100,1,0,0,0
The Gift,69/100,1,1,0,0
Violet Evergarden,69/100,1,0,0,0
3Below: Tales of Arcadia,69/100,1,0,0,0
Jeffrey Epstein: Filthy Rich,69/100,1,0,0,0
Dawson's Creek,69/100,1,1,0,0
Private Practice,69/100,1,1,0,0
Beauty and the Beast,69/100,1,0,0,1
Daybreak,69/100,1,0,0,0
Easy,69/100,1,0,0,0
Behind Her Eyes,68/100,1,0,0,0
Collateral,68/100,1,0,0,0
Knightfall,68/100,1,0,0,0
The Confession Killer,68/100,1,0,0,0
Sophie: A Murder In West Cork,68/100,1,0,0,0
Call My Agent!,68/100,1,0,0,0
My Little Pony: Friendship Is Magic,68/100,1,1,0,0
Leah Remini: Scientology and the Aftermath,68/100,1,1,0,0
Containment,68/100,1,0,0,0
Z Nation,68/100,1,0,0,0
Emily in Paris,68/100,1,0,0,0
Victorious,68/100,1,0,0,0
Scream: The TV Series,68/100,1,0,0,0
Akame ga Kill!,68/100,1,1,0,0
Warrior Nun,68/100,1,0,0,0
Bad Blood,68/100,1,0,0,0
Young & Hungry,68/100,1,0,0,0
Caliphate,68/100,1,0,0,0
Allo 'Allo!,68/100,1,0,0,0
Good Witch,68/100,1,0,0,0
Gilmore Girls: A Year in the Life,68/100,1,0,0,0
Aquarius,68/100,1,0,0,0
Firefly Lane,67/100,1,0,0,0
White Gold,67/100,1,0,0,0
Hyperdrive,67/100,1,0,1,0
Reply 1988,67/100,1,0,0,0
Ninjago: Masters of Spinjitzu,67/100,1,0,1,0
Spotless,67/100,1,0,0,0
Devilman: Crybaby,67/100,1,0,0,0
BEASTARS,67/100,1,0,0,0
Kill la Kill,67/100,1,0,0,0
Down to Earth with Zac Efron,67/100,1,0,0,0
Ancient Aliens,67/100,1,1,1,0
Slasher,67/100,1,0,0,0
Ray,67/100,1,0,0,0
Time: The Kalief Browder Story,67/100,1,0,0,0
Away,67/100,1,0,0,0
No Tomorrow,67/100,1,0,0,0
Locked Up,67/100,1,0,0,0
The Frankenstein Chronicles,67/100,1,0,0,0
The Ranch,67/100,1,0,0,0
Cursed,67/100,1,0,0,0
Wu Assassins,67/100,1,0,0,0
Mr. Sunshine,67/100,1,0,0,0
The Unicorn,67/100,1,1,0,0
Anohana: The Flower We Saw That Day,67/100,1,0,0,0
Alice in Borderland,67/100,1,0,0,0
The Challenge,67/100,1,1,1,0
Gypsy,67/100,1,0,0,0
Fuller House,67/100,1,0,0,0
How to Become a Tyrant,67/100,1,0,0,0
Killer Inside: The Mind of Aaron Hernandez,67/100,1,0,0,0
RESIDENT EVIL: Infinite Darkness,67/100,1,0,0,0
1983,67/100,1,0,0,0
Wet Hot American Summer: First Day of Camp,67/100,1,0,0,0
The Baker and the Beauty,67/100,1,0,1,0
Spinning Out,67/100,1,0,0,0
Trinkets,67/100,1,0,0,0
Insatiable,67/100,1,0,0,0
The Chalet,67/100,1,0,0,0
We Bare Bears,67/100,1,1,0,0
Gurren Lagann,66/100,1,0,0,0
Friends from College,66/100,1,0,0,0
Jericho,66/100,1,0,0,0
Tidelands,66/100,1,0,0,0
Dear White People,66/100,1,1,0,0
Dare Me,66/100,1,0,0,0
Ouran High School Host Club,66/100,1,1,0,0
Scooby-Doo! Mystery Incorporated,66/100,1,0,0,0
The Untamed,66/100,1,0,0,0
Stranger,66/100,1,0,0,0
El Chapo,66/100,1,0,0,0
Great News,66/100,1,0,0,0
The Get Down,66/100,1,0,0,0
The Naked Director,66/100,1,0,0,0
Rise of Empires: Ottoman,66/100,1,0,0,0
Club de Cuervos,66/100,1,0,0,0
My Mister,66/100,1,0,0,0
Toradora!,66/100,1,0,1,0
The Baby-Sitters Club,66/100,1,0,1,0
Carole & Tuesday,66/100,1,0,0,0
Van Helsing,66/100,1,0,0,0
Vincenzo,66/100,1,0,0,0
The Night Shift,66/100,1,0,0,0
"Pablo Escobar, The Drug Lord",66/100,1,0,0,0
No Game No Life,66/100,1,0,0,0
The King: Eternal Monarch,66/100,1,0,0,0
Eden,65/100,1,0,1,0
Stateless,65/100,1,0,0,0
High Score,65/100,1,0,0,0
Hospital Playlist,65/100,1,0,0,0
Dash & Lily,65/100,1,0,0,0
The Confession Tapes,65/100,1,0,0,0
Black Butler,65/100,1,1,0,0
The Rain,65/100,1,0,0,0
Love Is Blind,65/100,1,0,1,0
Trial by Media,65/100,1,0,0,0
Wormwood,65/100,1,0,0,0
Fear City: New York vs The Mafia,65/100,1,0,0,0
Sorjonen,65/100,1,0,0,0
Crashing,65/100,1,0,0,0
Forged in Fire,65/100,1,1,1,0
Baby,65/100,1,0,0,0
Sweet Home,65/100,1,0,0,0
The Disastrous Life of Saiki K.,65/100,1,0,0,0
The Innocence Files,65/100,1,0,0,0
BNA,65/100,1,0,0,0
The Mist,65/100,1,0,0,0
Halston,65/100,1,0,1,0
Shaun the Sheep,65/100,1,0,1,0
The Universe,65/100,1,0,1,0
Self Made: Inspired by the Life of Madam C.J. Walker,65/100,1,0,0,0
Shtisel,65/100,1,0,0,0
The Boss Baby: Back in Business,65/100,1,0,0,0
Puella Magi Madoka Magica,65/100,1,1,0,0
Masameer County,65/100,1,0,0,0
Sinatra: All or Nothing at All,65/100,1,0,0,0
Comedians in Cars Getting Coffee,65/100,1,0,0,0
Senora Acero,65/100,1,1,0,0
Dark Tourist,65/100,1,0,0,0
Criminal: UK,65/100,1,0,0,0
Heist,65/100,1,0,0,0
The Bureau of Magical Things,65/100,1,0,0,0
Cleverman,65/100,1,0,0,0
The Innocent Man,65/100,1,0,0,0
Norsemen,65/100,1,0,0,0
Word of Honor,65/100,1,0,0,0
Pawn Stars,65/100,1,1,1,0
Inside Bill's Brain: Decoding Bill Gates,65/100,1,0,0,0
Damnation,65/100,1,0,0,0
From Dusk Till Dawn: The Series,64/100,1,0,0,0
Lovesick,64/100,1,0,0,0
Flint Town,64/100,1,0,0,0
Watership Down,64/100,1,0,0,0
Undercover,64/100,1,0,1,0
Rita,64/100,1,0,0,0
Dorohedoro,64/100,1,0,0,0
Maid Sama!,64/100,1,1,0,0
Mystery Science Theater 3000: The Return,64/100,1,0,0,0
Is It Wrong to Try to Pick Up Girls in a Dungeon?,64/100,1,1,0,0
Surviving R. Kelly,64/100,1,0,0,0
Saint Seiya,64/100,1,0,1,0
Flaked,64/100,1,0,0,0
Fate/Zero,64/100,1,0,0,0
Crazyhead,64/100,1,0,0,0
The Five,64/100,1,0,0,0
Signal,64/100,1,0,0,0
H2O: Just Add Water,64/100,1,1,0,0
Requiem,64/100,1,0,0,0
The Valhalla Murders,64/100,1,0,0,0
Cardcaptor Sakura,64/100,1,0,0,0
Black Earth Rising,64/100,1,0,0,0
W/ Bob & David,64/100,1,0,0,0
The Trials of Gabriel Fernandez,64/100,1,0,0,0
She's Gotta Have It,64/100,1,0,0,0
Save Me,64/100,1,0,0,0
Giri/Haji,64/100,1,0,0,0
The Curse of Oak Island,64/100,1,1,0,0
Black,63/100,1,0,0,0
Losers,63/100,1,0,0,0
Ajin,63/100,1,0,0,0
Ink Master,63/100,1,0,0,0
The Innocents,63/100,1,0,0,0
Goosebumps,63/100,1,0,0,0
Vampire Knight,63/100,1,1,0,0
Angel Beats!,63/100,1,0,0,0
Green Eggs and Ham,63/100,1,0,0,0
The Hollow,63/100,1,0,0,0
Dogs,63/100,1,0,0,0
November 13: Attack on Paris,63/100,1,0,0,0
It's Bruno!,63/100,1,0,0,0
Wanted,63/100,1,0,0,0
Masum,63/100,1,0,0,0
Cable Girls,63/100,1,0,0,0
Lady Dynamite,63/100,1,0,0,0
Power Rangers,63/100,1,0,1,0
The Mire,63/100,1,0,0,0
Tabula Rasa,63/100,1,0,0,0
Ethos,63/100,1,0,0,0
Clannad,63/100,1,1,0,0
Ugly Delicious,63/100,1,0,0,0
Generation 56k,63/100,1,0,0,0
Fate/stay night [Unlimited Blade Works],63/100,1,1,0,0
Man with a Plan,63/100,1,0,0,0
Rilakkuma and Kaoru,63/100,1,0,0,0
World War II In HD Colour,63/100,1,0,0,0
Boys Over Flowers,63/100,1,1,0,0
Meteor Garden,63/100,1,0,0,0
"What's New, Scooby-Doo?",63/100,1,0,0,0
The Letdown,63/100,1,0,0,0
Sick Note,63/100,1,0,0,0
Big Time Rush,63/100,1,1,1,0
Girlboss,63/100,1,0,0,0
Quicksand,63/100,1,0,0,0
Rotten,63/100,1,0,0,0
The Irregulars,63/100,1,0,0,0
The Mantis,63/100,1,0,0,0
College Romance,63/100,1,0,0,0
Elite Short Stories: Carla Samuel,63/100,1,0,0,0
Bard of Blood,63/100,1,0,0,0
Charmed,62/100,1,0,0,0
The New Legends of Monkey,62/100,1,0,0,0
Nevertheless,62/100,1,0,0,0
"The Mind, Explained",62/100,1,0,0,0
Fast & Furious Spy Racers,62/100,1,0,0,0
Itaewon Class,62/100,1,0,0,0
Occupied,62/100,1,0,0,0
The Magic School Bus,62/100,1,0,0,0
Toast of London,62/100,1,0,0,0
Patriot Act with Hasan Minhaj,62/100,1,0,0,0
Greatest Events of World War II in Colour,62/100,1,0,0,0
Offspring,62/100,1,0,0,0
Blown Away,62/100,1,0,0,0
60 Days In,62/100,1,1,1,0
Trese,62/100,1,0,0,0
Move to Heaven,62/100,1,0,0,0
Hot Girls Wanted: Turned On,62/100,1,0,0,0
The Heirs,62/100,1,0,0,0
The Curious Creations of Christine McConnell,62/100,1,0,0,0
Alexa & Katie,62/100,1,0,0,0
Sailor Moon Crystal,62/100,1,1,0,0
Blood of Zeus,62/100,1,0,0,0
La Reina del Sur,62/100,1,0,0,0
Barbarians,62/100,1,0,0,0
Pine Gap,62/100,1,0,0,0
To the Lake,62/100,1,0,0,0
Suburra: Blood on Rome,62/100,1,0,0,0
Taco Chronicles,62/100,1,0,0,0
She,62/100,1,0,0,0
Between,62/100,1,0,0,0
Velvet,62/100,1,0,0,0
Bobby Kennedy for President,62/100,1,0,0,0
Durarara!!,62/100,1,1,0,0
Yu-Gi-Oh!,62/100,1,1,1,0
Hostages,62/100,1,0,0,0
Rhythm + Flow,62/100,1,0,0,0
Blue Exorcist,62/100,1,1,0,0
L.A.'s Finest,62/100,1,0,0,0
Vagabond,62/100,1,0,0,0
Thomas & Friends,62/100,1,0,1,0
The Protector,61/100,1,0,0,0
Unsolved Mysteries,61/100,1,1,1,0
Too Hot to Handle,61/100,1,0,0,0
AJ and the Queen,61/100,1,0,0,0
Are You The One?,61/100,1,1,0,0
Little Things,61/100,1,0,0,0
Still Game,61/100,1,0,0,0
Transformers: Prime,61/100,1,0,0,0
Henry Danger,61/100,1,0,0,0
Tidying Up with Marie Kondo,61/100,1,0,0,0
Nightflyers,61/100,1,0,0,0
Love 101,61/100,1,0,0,0
Car Masters: Rust to Riches,61/100,1,0,0,0
WHAT / IF,61/100,1,0,0,0
Total Drama Island,61/100,1,0,0,0
Roman Empire,61/100,1,0,0,0
Beyond Evil,61/100,1,0,0,0
Deadwind,61/100,1,0,0,0
People Just Do Nothing,61/100,1,0,0,0
B: The Beginning,61/100,1,0,0,0
Somebody Feed Phil,61/100,1,0,0,0
Girl from Nowhere,61/100,1,0,0,0
Cocaine Coast,61/100,1,0,0,0
The Liberator,61/100,1,0,0,0
The Irregular at Magic High School,61/100,1,0,0,0
Norm Macdonald Has a Show,61/100,1,0,0,0
Hap and Leonard,61/100,1,0,0,0
Dark Desire,61/100,1,0,0,0
Seis Manos,61/100,1,0,0,0
Control Z,61/100,1,0,0,0
Kengan Ashura,61/100,1,0,0,0
Black Money Love,61/100,1,0,0,0
Dave Chappelle,61/100,1,0,0,0
The House of Flowers,61/100,1,0,0,0
Fatma,61/100,1,0,0,0
America's Next Top Model,61/100,1,1,1,0
Tribes of Europa,61/100,1,0,0,0
Grand Army,61/100,1,0,0,0
Somos.,61/100,1,0,0,0
The Great Heist,61/100,1,0,0,0
The One,61/100,1,0,0,0
Carmen Sandiego,61/100,1,0,0,0
The Chef Show,61/100,1,0,0,0
Traitors,61/100,1,0,0,0
Wet Hot American Summer: Ten Years Later,61/100,1,0,0,0
The Neighbor,60/100,1,0,0,0
Salt Fat Acid Heat,60/100,1,0,0,0
Billy on the Street,60/100,1,1,0,0
October Faction,60/100,1,0,0,0
Start-Up,60/100,1,0,0,0
Night on Earth,60/100,1,0,0,0
DOTA: Dragon's Blood,60/100,1,0,0,0
The Break,60/100,1,0,0,0
The Letter for the King,60/100,1,0,0,0
Osmosis,60/100,1,0,0,0
Another Life,60/100,1,0,0,0
Ju-On: Origins,60/100,1,0,0,0
Diagnosis,60/100,1,0,0,0
Zone Blanche,60/100,1,0,0,0
The Eddy,60/100,1,0,0,0
Magi,60/100,1,1,0,0
Elite Short Stories: Guzmán Caye Rebe,60/100,1,0,0,0
Memories of the Alhambra,60/100,1,0,0,0
Pacific Rim: The Black,60/100,1,0,0,0
V Wars,60/100,1,0,0,0
The Windsors,60/100,1,0,0,0
The Sons of Sam: A Descent Into Darkness,60/100,1,0,0,0
Sunderland 'Til I Die,60/100,1,0,0,0
Rebellion,60/100,1,0,0,0
The Pharmacist,60/100,1,0,0,0
The A List,60/100,1,0,0,0
Tales of the City,60/100,1,0,0,0
Disjointed,60/100,1,0,0,0
Medical Police,60/100,1,0,0,0
Gentefied,60/100,1,0,0,0
Wanderlust,60/100,1,0,0,0
Murder Among the Mormons,60/100,1,0,0,0
Home for Christmas,60/100,1,0,0,0
Paradise PD,60/100,1,0,0,0
The Bachelorette,60/100,1,1,0,0
Cold Case Files,60/100,1,1,1,0
Little Witch Academia,60/100,1,0,0,0
El marginal,60/100,1,0,0,0
Teasing Master Takagi-san,60/100,1,0,0,0
Kakegurui,60/100,1,0,0,0
Attenborough's Life in Colour,60/100,1,0,0,0
Mortel,60/100,1,0,0,0
Kath & Kim,60/100,1,0,0,0
Charité,59/100,1,0,0,0
Hoarders,59/100,1,1,0,0
Unsolved: The Murders of Tupac and The Notorious B.I.G.,59/100,1,0,0,0
My Next Guest Needs No Introduction With David Letterman,59/100,1,0,0,0
The Repair Shop,59/100,1,0,0,0
Record of Ragnarok,59/100,1,0,0,0
White Lines,59/100,1,0,0,0
A Korean Odyssey,59/100,1,0,0,0
Snabba Cash,59/100,1,0,0,0
Luis Miguel: The Series,59/100,1,0,0,0
Black Space,59/100,1,0,0,0
"Love, Chunibyo & Other Delusions",59/100,1,0,0,0
Kabaneri of the Iron Fortress,59/100,1,0,0,0
"Sister, Sister",59/100,1,1,0,0
Greenhouse Academy,59/100,1,0,0,0
Mr. Iglesias,59/100,1,0,0,0
Paranoid,59/100,1,0,0,0
Hip Hop Evolution,59/100,1,0,0,0
The Game,59/100,1,1,1,0
Love on the Spectrum,59/100,1,0,0,0
Greenleaf,59/100,1,0,0,0
Naomi Osaka,59/100,1,0,0,0
Oh My Ghost,59/100,1,0,0,0
The Final Table,59/100,1,0,0,0
Life Sentence,59/100,1,0,0,0
Penguin Town,59/100,1,0,0,0
Dogs of Berlin,59/100,1,0,0,0
Yasuke,59/100,1,0,0,0
Alma Matters: Inside the IIT Dream,59/100,1,0,0,0
Playing with Fire,59/100,1,1,0,0
"Hello, My Twenties!",59/100,1,0,0,0
