title,metascore,user_score
Orange is the New Black: Season 7,81,7.4
Search Party (2016): Season 1,81,7.8
Cheer (2020): Season 1,81,7.8
Damages: Season 3,81,8.9
Torchwood (UK): Season 3,81,7.9
Gilmore Girls: Season 1,81,8.5
Sons of Anarchy: Season 4,81,7.8
The Hour (UK): Season 1,81,7.9
Damages: Season 2,81,8.7
Survivor's Remorse: Season 1,81,7.6
Central Park: Season 1,81,7
Years of Living Dangerously: Season 1,81,7.1
Veronica Mars: Season 1,81,8.6
Lemony Snicket's A Series of Unfortunate Events (2017): Season 1,81,8
Dharma & Greg: Season 1,81,7.5
Station Eleven: Season 1,81,6.2
Five Came Back: Season 1,81,7.2
High Maintenance (2016): Season 1,81,6.1
David Makes Man: Season 1,81,7.3
All The President's Men Revisited,81,tbd
Call The Midwife: Season 1,81,8.1
Black Bird: Season 1,80,7.4
Tuca & Bertie: Season 1,80,7
The Leftovers: Season 2,80,9
Country Music,80,7.5
The Boys: Season 2,80,6.7
Insecure: Season 3,84,6.3
Elvis Presley: The Searcher,84,7.3
Going Clear: Scientology and the Prison of Belief: Season 1,84,7.8
Full Frontal with Samantha Bee: Season 1,84,4.1
The Killing: Season 1,84,8.1
EZ Streets: Season 1,84,tbd
Hannibal: Season 3,84,7.8
Treme: Season 2,84,7.4
Immigration Nation,84,4.3
Sports Night: Season 1,84,tbd
Back: Season 2,84,6.2
The Dresser (2016),84,6.7
The Good Fight: Season 4,84,6.8
Breaking Bad: Season 2,84,9.2
Slow Horses: Season 2,84,7.9
Barry: Season 1,84,7.7
How to With John Wilson: Season 1,84,8.1
Girls: Season 2,84,6.1
Party Down: Season 2,84,8.6
Making a Murderer: Season 1,84,9
Poker Face (2023): Season 1,84,7.1
Leaving Neverland,84,5.2
Evil: Season 2,84,7.1
Sons of Anarchy: Season 3,84,7.9
Insecure: Season 1,84,7.2
30 Rock: Season 3,84,8.6
Euphoria Special Episode Part 1: Rue,84,8.2
Irma Vep: Season 1,84,7.3
One Day at a Time (2017): Season 4,84,7.3
Better Off Ted: Season 2,84,8.7
No Direction Home: Bob Dylan,84,tbd
Too Close: Season 1,84,5
NYPD Blue: Season 1,84,tbd
Dave: Season 2,84,5.8
Monty Python: Almost the Truth (The Lawyer's Cut): Season 1,84,8.5
The Last of Us: Season 1,84,7.7
Silicon Valley: Season 1,84,8.6
Justified: Season 5,84,8.4
NY Med: Season 1,84,7.4
The Crown: Season 2,87,8
Rescue Me: Season 5,84,8.4
Reservation Dogs: Season 1,84,7.3
Boardwalk Empire: Season 5,83,8.4
Pushing Daisies: Season 2,83,8.8
Exterminate All the Brutes,83,5.2
We Need to Talk About Cosby: Season 1,83,4.4
The Sex Lives of College Girls: Season 2,83,6.5
Boston Med: Season 1,87,8
Broad City: Season 3,87,7.7
True Detective: Season 1,87,9.1
RAMY: Season 1,87,6.9
My Brilliant Friend: Season 1,87,8.4
Painting With John: Season 1,86,5.8
Band of Brothers: Season 1,86,9.1
Veep: Season 3,86,8.2
Orange is the New Black: Season 4,86,8.4
Somebody Somewhere: Season 1,86,7.3
Feel Good (2020): Season 2,86,6
Southland: Season 5,86,8.3
Howards End: Season 1,86,6
Nurse Jackie: Season 4,83,8.1
The Kids in the Hall: Season 1,83,tbd
L.A. Law: Season 1,83,tbd
Our Boys: Season 1,83,7.5
Whoopi Goldberg Presents Moms Mabley,83,7
1971: The Year That Music Changed Everything,83,6.3
Baskets: Season 2,83,7.8
Downton Abbey: Season 3,83,7.7
Feel Good (2020): Season 1,83,6.4
Parks and Recreation: Season 3,83,8.9
Orange is the New Black: Season 3,83,7.5
Killing Eve: Season 1,83,7.9
The Handmaid's Tale: Season 2,86,7.5
The Pacific: Season 1,86,7.7
Silicon Valley: Season 2,86,8.7
Killing Eve: Season 2,86,8.1
We Are Lady Parts: Season 1,83,4.8
National Treasure (2017): Season 1,83,6.1
Penny Dreadful: Season 3,83,8.1
We Own This City: Season 1,83,5.8
24: Season 2,83,8.8
Los Espookys: Season 1,83,6.7
Roots (2016): Season 1,83,6.3
Sex Education: Season 3,83,6.9
Friday Night Lights: Season 3,83,9
Deadwood: The Movie,86,8.2
When They See Us: Season 1,86,7.5
Elizabeth Is Missing,86,6.3
The Deuce: Season 2,86,7.4
Wolf Hall: Season 1,86,7.5
The Trip to Bountiful,86,7.4
Prohibition,86,8.4
I May Destroy You: Season 1,86,6.5
Modern Family: Season 1,86,8.7
This Way Up: Season 2,86,7.2
The Crown: Season 4,86,8.2
Pushing Daisies: Season 1,86,8.3
Sing Your Song,86,tbd
The Rehearsal: Season 1,86,7.6
Rescue Me: Season 6,78,6.6
Severance: Season 1,83,8.8
Mad Men: Season 7.5,83,8.8
Luther: Season 1,83,7.2
Time of Death: Season 1,83,6.7
Random Acts Of Flyness: Season 1,83,5.5
Difficult People: Season 2,83,7.2
Cosmos: A Space-Time Odyssey: Season 1,83,8.7
Our Planet: Season 1,83,8.9
Northern Exposure: Season 2,83,7.4
Sex Education: Season 2,83,7.2
Lost: Season 1,86,9.1
Chloe: Season 1,86,6.6
Crazy Ex-Girlfriend: Season 2,86,8.2
Rescue Me: Season 1,86,8.7
Masters of Sex: Season 1,86,7.9
Men of a Certain Age: Season 2,86,7.9
Undone: Season 1,86,8.4
Legion: Season 2,85,7.5
"The Black Church: This Is Our Story, This Is Our Song",85,6.5
The Adam Carolla Project: Season 2,85,9
Fargo: Season 1,85,9
Prehistoric Planet: Season 1,85,7.2
The Beatles: Get Back: Season 1,85,7.9
Sherlock: Season 1,85,9.1
Broken Trail,78,8.5
This Way Up: Season 1,78,7.8
YOU: Season 3,78,7.1
Rogue Heroes: Season 1,78,7
The Andy Warhol Diaries: Season 1,78,tbd
American Gods: Season 1,77,7.4
The Night Of: Season 1,90,8.8
Jackie Robinson: Season 1,83,5.3
The Good Fight: Season 3,83,6
Homecoming: Season 1,83,7.1
Catastrophe: Season 1,83,8.1
In Treatment: Season 3,83,7.8
You're the Worst: Season 3,85,8.1
The Deuce: Season 1,85,7.9
Hemingway,85,8
Undeclared: Season 1,85,8.1
Ted Lasso: Season 2,85,6.5
Penny Dreadful: Season 2,77,8.5
WandaVision: Season 1,77,6.4
Appropriate Adult: Season 1,77,tbd
My Name Is Earl: Season 1,77,8.7
Grey Gardens,77,8.6
Sally4Ever: Season 1,77,6
Sneaky Pete: Season 1,77,7.5
The Last Dance: Season 1,90,8.8
Atlanta: Season 1,90,8.7
The Corner: Season 1,90,8
This American Life: Season 1,79,7.9
Orphan Black: Season 5,83,7.9
Behind the Candelabra,83,7.7
Unbelievable: Season 1,83,7.7
Surviving R. Kelly: Season 1,83,6.6
Happy Valley: Season 1,83,8.5
Sorry for Your Loss: Season 1,83,7.2
Halt and Catch Fire: Season 3,83,8.3
The Midnight Gospel: Season 1,82,7.8
And Then There Were None (2016): Season 1,82,7.4
Normal People: Season 1,82,8.3
Documentary Now!: Season 4,82,tbd
The Knick: Season 2,85,8.9
Show Me a Hero: Season 1,85,7.3
Peaky Blinders: Season 6,85,7.8
Battlestar Galactica (2003): Season 4,85,8.8
Better Call Saul: Season 2,85,8.8
Deadwood: Season 3,85,9.1
"McCartney 3,2,1: Season 1",85,6.3
Between the World and Me,85,5.2
The Shield: Season 7,85,9
Nashville (2012): Season 1,85,7.4
P-Valley: Season 1,85,6.4
Big Love: Season 5,85,6.2
Lady Dynamite: Season 1,85,6.6
Black-ish: Season 1,77,6.1
Casual: Season 1,77,7.7
Narcos: Season 1,77,8.9
Vikings: Season 2,77,7.5
Watergate: Season 1,77,6.6
Roswell: Season 1,77,7.6
The Adam Carolla Project: Season 1,77,9.2
Zen: Season 1,77,7.6
Harlem: Season 1,77,3.6
Game of Thrones: Season 7,77,7.8
Amy Schumer: Live at the Apollo,77,4.8
The Bridge (2013): Season 1,77,7.8
BoJack Horseman: Season 2,90,8.9
Rescue Me: Season 3,90,8.5
Louie: Season 2,90,8.6
The People v. O.J. Simpson: American Crime Story: Season 1,90,8.6
Silicon Valley: Season 3,90,8.9
Insecure: Season 2,90,6.6
Game of Thrones: Season 2,90,9.1
Stephen King's It: Season 1,79,7.8
Damages: Season 5,79,8.2
24: Season 4,79,8.8
Being Human (UK): Season 1,79,7.6
Unbreakable Kimmy Schmidt: Kimmy Vs. The Reverend,79,6.7
South Side: Season 1,79,tbd
Spotless: Season 1,79,7.6
Queer Eye (2018): Season 2,79,6.5
RAMY: Season 2,82,6.9
Harley Quinn: Season 1,82,6.2
Black Mirror: Season 3,82,8.8
Legion: Season 1,82,8.4
The Returned: Season 2,82,8.1
The White Lotus: Season 1,82,7.6
The Dust Bowl: Season 1,82,7.4
Unorthodox: Season 1,85,7.9
Rescue Me: Season 4,85,7.5
Heartstopper: Season 1,85,8.1
Outlander (2014): Season 2,85,8
Rick & Morty: Season 1,85,9.1
Silicon Valley: Season 4,85,8.2
The Great: Season 2,85,6.5
The Missing: Season 1,85,8
GLOW: Season 2,85,8.1
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,85,6.3
Downton Abbey: Season 2,85,7.8
Life Support,77,8.3
House: Season 5,77,8.6
The Great North: Season 1,77,tbd
Making It: Season 1,77,6.1
Mad Men: Season 1,77,8.6
Documentary Now!: Season 1,77,6.6
One Mississippi: Season 1,77,6.9
The Book of Negroes: Season 1,77,6.6
Crossfire Hurricane,77,tbd
Forever (2018): Season 1,77,6.3
Love Fraud: Season 1,77,tbd
The Vietnam War: Season 1,90,8.4
Veep: Season 4,90,8.3
American Crime: Season 3,90,7.1
Life on Mars (UK): Season 1,79,9
What We Do in the Shadows (2019): Season 2,79,8.9
Parenthood (1990): Season 1,79,tbd
Big Love: Season 3,79,6.7
The Normal Heart,85,7.9
The Affair: Season 1,85,7.4
The Marvelous Mrs. Maisel: Season 2,85,8
Mad Men: Season 7,85,8.8
I Hate Suzie: Season 1,85,7
House of Cards: Season 1,85,7.7
Little America: Season 1,85,6
We Are Who We Are: Season 1,77,7
An Adventure in Space and Time,77,7.3
Philly D.A.,77,tbd
Homeland: Season 3,77,7.1
Desperate Housewives: Season 5,77,8.3
Empire (2015): Season 2,77,5.9
Gentleman Jack: Season 1,77,7
She's Gotta Have It (2017): Season 1,77,4.4
Foo Fighters: Sonic Highways: Season 1,77,8.2
Chicago Hope: Season 1,77,tbd
Betty: Season 1,77,6.5
Succession: Season 2,89,8.8
Rectify: Season 3,89,8.7
A Black Lady Sketch Show: Season 1,89,5.6
Orange is the New Black: Season 2,89,8.3
Curb Your Enthusiasm: Season 11,89,7.5
Justified: Season 3,89,9
The Good Wife: Season 6,89,8.5
BoJack Horseman: Season 3,89,8.8
Breaking Bad: Season 3,89,9.4
Boomtown: Season 1,89,7
Masters of Sex: Season 2,89,7.3
Visible: Out on Television: Season 1,89,5.3
